Date,TempHighF,TempAvgF,TempLowF,DewPointHighF,DewPointAvgF,DewPointLowF,HumidityHighPercent,HumidityAvgPercent,HumidityLowPercent,SeaLevelPressureHighInches,SeaLevelPressureAvgInches,SeaLevelPressureLowInches,VisibilityHighMiles,VisibilityAvgMiles,VisibilityLowMiles,WindHighMPH,WindAvgMPH,WindGustMPH,PrecipitationSumInches,Events
12/21/2013,74,60,45,67,49,43,93,75,57,29.86,29.68,29.59,10,7,2,20,4,31,0.46,"Rain , Thunderstorm"
12/22/2013,56,48,39,43,36,28,93,68,43,30.41,30.13,29.87,10,10,5,16,6,25,0, 
12/23/2013,58,45,32,31,27,23,76,52,27,30.56,30.49,30.41,10,10,10,8,3,12,0, 
12/24/2013,61,46,31,36,28,21,89,56,22,30.56,30.45,30.3,10,10,7,12,4,20,0, 
12/25/2013,58,50,41,44,40,36,86,71,56,30.41,30.33,30.27,10,10,7,10,2,16,T, 
12/26/2013,57,48,39,39,36,33,79,63,47,30.47,30.4,30.34,10,9,7,12,3,17,0, 
12/27/2013,60,53,45,41,39,37,83,65,47,30.46,30.39,30.34,10,9,7,7,1,11,T, 
12/28/2013,62,51,40,43,39,33,92,64,36,30.33,30.17,30.04,10,10,7,10,2,14,T, 
12/29/2013,64,50,36,49,41,28,92,76,60,30.31,30.1,29.99,10,10,4,17,5,24,0, 
12/30/2013,44,40,35,31,26,21,75,60,45,30.44,30.33,30.26,10,10,10,13,5,21,0, 
12/31/2013,55,46,36,31,28,23,76,54,32,30.49,30.39,30.27,10,10,10,8,1,12,0, 
1/1/2014,69,54,39,51,42,30,83,68,52,30.25,30.11,30.01,10,10,8,13,4,22,0, 
1/2/2014,55,44,33,39,26,19,83,55,26,30.49,30.37,30.15,10,10,9,21,8,31,0, 
1/3/2014,58,43,28,37,22,18,75,49,22,30.48,30.35,30.14,10,10,10,14,4,21,0, 
1/4/2014,71,57,42,55,48,38,89,68,47,30.12,29.95,29.81,10,10,8,16,7,28,0, 
1/5/2014,59,47,34,54,32,15,87,59,31,30.48,30.08,29.79,10,10,4,21,10,34,0, 
1/6/2014,36,29,22,15,8,2,50,38,26,30.8,30.68,30.5,10,10,10,17,7,27,0, 
1/7/2014,48,35,22,29,11,4,68,43,17,30.66,30.52,30.36,10,10,10,13,5,22,0, 
1/8/2014,53,47,40,51,45,30,93,75,57,30.33,30.2,30.12,10,2,1,12,1,18,0.16,Rain
1/9/2014,70,62,53,60,55,50,93,80,66,30.18,30.11,30,10,4,0,12,3,19,0,Fog
